human,machine
8 september 2011,2011-09-08
sunday january 4 2015,2015-01-04
25 dec 1976,1976-12-25
wednesday october 16 1991,1991-10-16
26 jan 1994,1994-01-26
08 jul 1982,1982-07-08
friday august 16 2013,2013-08-16
monday august 26 1996,1996-08-26
3/29/86,1986-03-29
november 25 2015,2015-11-25
wednesday march 22 2000,2000-03-22
16 apr 2012,2012-04-16
sunday october 11 2009,2009-10-11
saturday may 19 1984,1984-05-19
tuesday november 1 2016,2016-11-01
16 apr 1975,1975-04-16
january 4 1989,1989-01-04
april 25 2009,2009-04-25
22 april 2007,2007-04-22
jun 11 2011,2011-06-11
11/7/11,2011-11-07
27 dec 1987,1987-12-27
31 oct 1987,1987-10-31
7 january 2003,2003-01-07
19 apr 2013,2013-04-19
4 december 2010,2010-12-04
30 september 2012,2012-09-30
wednesday june 8 2011,2011-06-08
25 oct 1987,1987-10-25
september 1 2004,2004-09-01
wednesday june 9 1982,1982-06-09
13 august 2018,2018-08-13
20 aug 1980,1980-08-20
18 december 1998,1998-12-18
25 09 91,1991-09-25
13 june 1982,1982-06-13
august 15 2004,2004-08-15
03.10.17,2017-10-03
30 jan 1979,1979-01-30
march 21 1992,1992-03-21
sunday april 28 1985,1985-04-28
9/3/12,2012-09-03
21 march 1993,1993-03-21
25 june 1974,1974-06-25
monday september 20 1976,1976-09-20
thursday february 17 2005,2005-02-17
thursday march 27 2014,2014-03-27
14 aug 2009,2009-08-14
saturday april 14 1973,1973-04-14
january 29 1982,1982-01-29
saturday february 2 2013,2013-02-02
friday may 24 1991,1991-05-24
tuesday june 20 1972,1972-06-20
wednesday may 12 1971,1971-05-12
17 apr 2006,2006-04-17
22 may 1996,1996-05-22
11 may 1978,1978-05-11
09 nov 1979,1979-11-09
05 nov 1992,1992-11-05
march 7 2014,2014-03-07
thursday august 12 1971,1971-08-12
aug 30 1975,1975-08-30
friday august 3 2001,2001-08-03
monday june 29 1992,1992-06-29
september 1 1980,1980-09-01
friday january 1 1993,1993-01-01
9 08 79,1979-08-09
sunday april 17 1983,1983-04-17
5 february 1984,1984-02-05
20 02 73,1973-02-20
tuesday may 7 2002,2002-05-07
monday november 20 1978,1978-11-20
may 15 1980,1980-05-15
thursday october 3 1996,1996-10-03
13 dec 1992,1992-12-13
friday september 22 2000,2000-09-22
monday november 30 2015,2015-11-30
15.12.06,2006-12-15
2/16/82,1982-02-16
22.07.93,1993-07-22
thursday november 23 1989,1989-11-23
november 8 2004,2004-11-08
thursday july 30 2009,2009-07-30
monday april 18 2016,2016-04-18
9/14/89,1989-09-14
thursday august 30 1973,1973-08-30
tuesday june 26 1984,1984-06-26
02.11.71,1971-11-02
26 jan 1993,1993-01-26
12 march 1976,1976-03-12
friday march 21 1986,1986-03-21
3 07 05,2005-07-03
tuesday january 7 1992,1992-01-07
16 oct 1989,1989-10-16
03.01.16,2016-01-03
november 16 1986,1986-11-16
sunday october 6 2013,2013-10-06
8/19/90,1990-08-19
saturday april 3 1993,1993-04-03
9 07 05,2005-07-09
monday june 15 1970,1970-06-15
26 apr 1991,1991-04-26
saturday march 7 2009,2009-03-07
sunday march 4 1979,1979-03-04
23 apr 1975,1975-04-23
03.08.07,2007-08-03
tuesday october 9 2012,2012-10-09
july 19 1973,1973-07-19
20 aug 1973,1973-08-20
sunday october 6 2013,2013-10-06
tuesday november 25 2008,2008-11-25
saturday march 29 1986,1986-03-29
tuesday july 3 2012,2012-07-03
16 oct 1995,1995-10-16
friday march 25 1977,1977-03-25
13 march 1995,1995-03-13
8/4/73,1973-08-04
25 january 2016,2016-01-25
sunday july 28 2013,2013-07-28
sunday august 1 1993,1993-08-01
13.02.70,1970-02-13
february 22 2007,2007-02-22
wednesday april 6 2016,2016-04-06
thursday december 31 2015,2015-12-31
jul 4 2013,2013-07-04
wednesday january 12 2005,2005-01-12
december 17 2016,2016-12-17
tuesday november 22 1983,1983-11-22
saturday march 31 2012,2012-03-31
saturday may 20 2006,2006-05-20
thursday june 24 1982,1982-06-24
november 25 1975,1975-11-25
monday april 8 2002,2002-04-08
june 18 2016,2016-06-18
sunday may 26 1991,1991-05-26
may 5 1981,1981-05-05
monday july 9 1973,1973-07-09
29 april 1994,1994-04-29
19 oct 1980,1980-10-19
13.08.04,2004-08-13
2 aug 1982,1982-08-02
18 apr 2000,2000-04-18
friday january 18 1980,1980-01-18
wednesday may 19 1982,1982-05-19
thursday october 1 1970,1970-10-01
monday march 25 2002,2002-03-25
11/3/80,1980-11-03
saturday september 26 1998,1998-09-26
11 feb 2014,2014-02-11
14.09.72,1972-09-14
2 03 16,2016-03-02
tuesday april 16 1991,1991-04-16
tuesday january 20 1976,1976-01-20
05 apr 1982,1982-04-05
15 dec 2012,2012-12-15
sunday august 8 1971,1971-08-08
02 mar 2016,2016-03-02
31 january 1989,1989-01-31
thursday march 27 1980,1980-03-27
15 apr 1993,1993-04-15
3 02 88,1988-02-03
august 21 1976,1976-08-21
jun 20 1992,1992-06-20
09.08.98,1998-08-09
30 january 1978,1978-01-30
31 01 77,1977-01-31
14 jun 2001,2001-06-14
saturday august 21 2004,2004-08-21
08 aug 2011,2011-08-08
may 6 1993,1993-05-06
17.11.16,2016-11-17
25 apr 1979,1979-04-25
wednesday december 16 1987,1987-12-16
25 september 2018,2018-09-25
tuesday may 16 1989,1989-05-16
23 jul 1991,1991-07-23
sunday november 25 1979,1979-11-25
tuesday september 20 2011,2011-09-20
12/18/06,2006-12-18
saturday october 21 1995,1995-10-21
thursday april 19 1973,1973-04-19
friday february 21 2014,2014-02-21
16 nov 1974,1974-11-16
sunday may 6 1973,1973-05-06
01 jun 1970,1970-06-01
friday august 23 1974,1974-08-23
friday november 22 1974,1974-11-22
friday february 5 1999,1999-02-05
30 dec 1984,1984-12-30
25.04.83,1983-04-25
thursday april 27 1972,1972-04-27
09 mar 1984,1984-03-09
dec 21 2016,2016-12-21
sunday may 22 1977,1977-05-22
9 november 1979,1979-11-09
saturday june 7 1980,1980-06-07
tuesday february 28 1984,1984-02-28
december 15 2004,2004-12-15
monday may 7 2018,2018-05-07
wednesday august 21 1991,1991-08-21
18 05 87,1987-05-18
tuesday july 18 2006,2006-07-18
sunday january 14 1990,1990-01-14
tuesday november 19 2013,2013-11-19
15 apr 1994,1994-04-15
friday june 17 1977,1977-06-17
friday december 6 1974,1974-12-06
oct 11 1990,1990-10-11
november 24 2011,2011-11-24
october 9 2015,2015-10-09
6 august 1998,1998-08-06
tuesday november 14 2000,2000-11-14
07 dec 1988,1988-12-07
wednesday february 26 1975,1975-02-26
6/27/85,1985-06-27
17 03 07,2007-03-17
monday june 10 2013,2013-06-10
wednesday april 3 1996,1996-04-03
friday january 23 2009,2009-01-23
thursday december 6 1973,1973-12-06
05.03.72,1972-03-05
tuesday december 4 1984,1984-12-04
sunday december 4 2005,2005-12-04
friday march 16 2001,2001-03-16
08 nov 1972,1972-11-08
28 04 09,2009-04-28
friday january 10 1992,1992-01-10
friday august 12 1977,1977-08-12
11/12/97,1997-11-12
27 may 1977,1977-05-27
04 apr 1989,1989-04-04
27 sep 1988,1988-09-27
3 04 15,2015-04-03
21 mar 1992,1992-03-21
wednesday may 31 1989,1989-05-31
sunday december 17 2000,2000-12-17
07.07.94,1994-07-07
7/5/03,2003-07-05
29 january 1984,1984-01-29
september 7 1985,1985-09-07
tuesday october 10 1978,1978-10-10
saturday may 30 1987,1987-05-30
01 sep 1981,1981-09-01
01 dec 1980,1980-12-01
friday january 1 1993,1993-01-01
friday august 5 1994,1994-08-05
10/20/88,1988-10-20
08 sep 2012,2012-09-08
24 july 1987,1987-07-24
26 jan 2009,2009-01-26
january 18 1985,1985-01-18
3 01 85,1985-01-03
22 december 1996,1996-12-22
thursday may 3 1990,1990-05-03
thursday may 20 1999,1999-05-20
wednesday june 12 2002,2002-06-12
13 june 1992,1992-06-13
03 aug 1989,1989-08-03
wednesday june 3 1992,1992-06-03
sunday february 7 1999,1999-02-07
monday january 5 2015,2015-01-05
thursday november 25 1999,1999-11-25
monday june 14 1976,1976-06-14
19 may 2008,2008-05-19
sunday december 22 1985,1985-12-22
november 1 2012,2012-11-01
tuesday october 29 1974,1974-10-29
7 mar 1971,1971-03-07
16 july 2001,2001-07-16
tuesday december 26 2000,2000-12-26
4 feb 1994,1994-02-04
august 27 2014,2014-08-27
23 november 2013,2013-11-23
thursday december 6 1984,1984-12-06
23 nov 2003,2003-11-23
thursday january 26 2017,2017-01-26
saturday august 9 2008,2008-08-09
8 july 2006,2006-07-08
thursday december 25 1980,1980-12-25
6 mar 2004,2004-03-06
26 03 01,2001-03-26
monday february 13 2017,2017-02-13
thursday february 4 1993,1993-02-04
thursday august 22 1991,1991-08-22
friday march 4 1994,1994-03-04
26 nov 1992,1992-11-26
01 mar 1972,1972-03-01
sunday may 21 1989,1989-05-21
4 11 93,1993-11-04
jun 17 1975,1975-06-17
tuesday december 8 1992,1992-12-08
22.10.14,2014-10-22
21 may 1975,1975-05-21
saturday november 1 2014,2014-11-01
tuesday february 28 1995,1995-02-28
september 1 2014,2014-09-01
friday april 2 1999,1999-04-02
20 september 2005,2005-09-20
monday january 31 2005,2005-01-31
sep 1 2000,2000-09-01
april 13 2007,2007-04-13
01 oct 1993,1993-10-01
15 apr 2018,2018-04-15
02 dec 1976,1976-12-02
jan 5 1975,1975-01-05
sunday april 30 1995,1995-04-30
25 oct 1979,1979-10-25
saturday october 6 2007,2007-10-06
tuesday august 16 2016,2016-08-16
9 10 13,2013-10-09
22.10.05,2005-10-22
march 14 1970,1970-03-14
28.09.09,2009-09-28
wednesday july 23 1997,1997-07-23
sunday november 11 2007,2007-11-11
sunday january 14 2001,2001-01-14
thursday november 23 1972,1972-11-23
monday may 19 1986,1986-05-19
monday september 1 2008,2008-09-01
26.12.16,2016-12-26
17 jul 1980,1980-07-17
thursday september 26 1996,1996-09-26
saturday september 19 1970,1970-09-19
monday april 28 1975,1975-04-28
6 november 1989,1989-11-06
wednesday may 4 2005,2005-05-04
8/12/78,1978-08-12
may 23 1994,1994-05-23
may 9 2005,2005-05-09
may 9 1978,1978-05-09
29 apr 1989,1989-04-29
friday march 20 1992,1992-03-20
19 aug 1980,1980-08-19
17 dec 1977,1977-12-17
thursday january 20 2005,2005-01-20
7/2/81,1981-07-02
may 20 1971,1971-05-20
10/28/16,2016-10-28
apr 2 1980,1980-04-02
october 21 1987,1987-10-21
27 01 08,2008-01-27
wednesday january 17 1973,1973-01-17
thursday may 27 1982,1982-05-27
april 3 2010,2010-04-03
tuesday august 30 1977,1977-08-30
january 4 2007,2007-01-04
3 august 1999,1999-08-03
saturday june 28 1980,1980-06-28
tuesday january 14 1975,1975-01-14
31 03 73,1973-03-31
3/31/86,1986-03-31
wednesday january 6 1993,1993-01-06
wednesday october 3 2012,2012-10-03
july 15 2015,2015-07-15
25 jan 1996,1996-01-25
04 nov 1974,1974-11-04
sunday march 29 1992,1992-03-29
12 september 1971,1971-09-12
07 mar 1990,1990-03-07
monday october 4 1993,1993-10-04
01.03.75,1975-03-01
thursday june 22 2006,2006-06-22
4 june 2004,2004-06-04
mar 14 1986,1986-03-14
october 13 1972,1972-10-13
june 30 1991,1991-06-30
wednesday june 21 2000,2000-06-21
16.02.78,1978-02-16
wednesday march 31 2004,2004-03-31
april 26 1988,1988-04-26
friday june 8 1990,1990-06-08
5 may 1997,1997-05-05
23 september 1988,1988-09-23
17 september 2016,2016-09-17
02.06.18,2018-06-02
wednesday september 26 2012,2012-09-26
30 november 1989,1989-11-30
dec 13 1991,1991-12-13
17 jun 1973,1973-06-17
18 february 1974,1974-02-18
monday may 17 1999,1999-05-17
january 6 1977,1977-01-06
7/26/90,1990-07-26
saturday june 29 1996,1996-06-29
monday september 21 1987,1987-09-21
sunday november 7 1993,1993-11-07
wednesday february 25 1976,1976-02-25
wednesday june 7 2017,2017-06-07
sunday august 28 2011,2011-08-28
september 10 2002,2002-09-10
saturday november 12 2005,2005-11-12
may 15 2010,2010-05-15
october 15 2009,2009-10-15
20.05.92,1992-05-20
saturday september 2 2006,2006-09-02
2 february 2010,2010-02-02
29 january 1987,1987-01-29
monday january 30 1995,1995-01-30
13 june 2007,2007-06-13
24 11 16,2016-11-24
january 24 1991,1991-01-24
jan 3 2016,2016-01-03
12 nov 2015,2015-11-12
monday july 3 1989,1989-07-03
nov 4 1987,1987-11-04
10/31/87,1987-10-31
friday february 20 1970,1970-02-20
june 3 1987,1987-06-03
7 jun 1994,1994-06-07
26 november 1975,1975-11-26
february 5 1973,1973-02-05
saturday january 19 1974,1974-01-19
tuesday june 12 1990,1990-06-12
may 11 1993,1993-05-11
friday november 27 1970,1970-11-27
thursday march 7 2013,2013-03-07
06 oct 1990,1990-10-06
wednesday november 20 1985,1985-11-20
friday october 8 2004,2004-10-08
16 mar 1976,1976-03-16
wednesday august 18 1976,1976-08-18
02.02.87,1987-02-02
7 june 1980,1980-06-07
december 21 2012,2012-12-21
7 09 03,2003-09-07
saturday december 2 1978,1978-12-02
2 august 2004,2004-08-02
september 6 1979,1979-09-06
24 06 96,1996-06-24
23 december 1973,1973-12-23
friday february 12 1999,1999-02-12
wednesday august 27 2014,2014-08-27
7 aug 1984,1984-08-07
jan 20 1999,1999-01-20
tuesday january 6 1987,1987-01-06
friday march 8 1991,1991-03-08
11 april 2008,2008-04-11
9 november 2001,2001-11-09
wednesday may 12 1971,1971-05-12
sunday january 29 1984,1984-01-29
sunday april 22 1984,1984-04-22
wednesday july 7 2010,2010-07-07
monday october 19 2009,2009-10-19
7 january 2008,2008-01-07
friday august 22 2014,2014-08-22
11 february 1983,1983-02-11
thursday april 27 2006,2006-04-27
18 sep 1981,1981-09-18
saturday october 25 1980,1980-10-25
july 26 1977,1977-07-26
wednesday january 28 2015,2015-01-28
sunday september 10 1972,1972-09-10
19 jun 1997,1997-06-19
12/6/86,1986-12-06
september 7 2018,2018-09-07
oct 18 2007,2007-10-18
june 3 2018,2018-06-03
friday july 27 2012,2012-07-27
19 jan 1986,1986-01-19
25 feb 2012,2012-02-25
17 aug 1983,1983-08-17
28 jan 2007,2007-01-28
april 21 1998,1998-04-21
jul 14 1988,1988-07-14
22.06.98,1998-06-22
1/25/87,1987-01-25
22 january 2003,2003-01-22
23 jun 1990,1990-06-23
17 january 2012,2012-01-17
28.02.86,1986-02-28
tuesday december 7 2010,2010-12-07
11/23/79,1979-11-23
28 06 79,1979-06-28
apr 9 1991,1991-04-09
october 13 2017,2017-10-13
29 mar 1999,1999-03-29
10 december 2006,2006-12-10
12 04 94,1994-04-12
18 04 11,2011-04-18
11 aug 1972,1972-08-11
15 aug 1999,1999-08-15
june 14 1992,1992-06-14
jul 5 1990,1990-07-05
sunday april 27 1980,1980-04-27
5 july 2016,2016-07-05
01 jun 1982,1982-06-01
16 may 2014,2014-05-16
1 10 90,1990-10-01
28.03.06,2006-03-28
27 nov 1970,1970-11-27
23 apr 1992,1992-04-23
thursday february 7 1985,1985-02-07
april 30 2015,2015-04-30
december 31 1992,1992-12-31
monday september 2 2013,2013-09-02
wednesday january 28 1976,1976-01-28
saturday june 6 2009,2009-06-06
29 dec 1993,1993-12-29
september 2 2013,2013-09-02
oct 30 2001,2001-10-30
may 15 2011,2011-05-15
sunday october 1 1989,1989-10-01
aug 1 2003,2003-08-01
saturday february 19 2005,2005-02-19
15.02.04,2004-02-15
21.05.87,1987-05-21
november 17 2007,2007-11-17
10 december 2002,2002-12-10
monday august 11 1986,1986-08-11
22 nov 1972,1972-11-22
thursday october 5 2006,2006-10-05
friday july 16 1999,1999-07-16
friday december 2 1988,1988-12-02
wednesday january 8 1997,1997-01-08
7/19/94,1994-07-19
4 05 06,2006-05-04
tuesday july 18 1995,1995-07-18
saturday september 5 1987,1987-09-05
22 sep 2008,2008-09-22
25 feb 2002,2002-02-25
wednesday november 8 1989,1989-11-08
16 dec 1971,1971-12-16
thursday january 31 1974,1974-01-31
07 oct 1983,1983-10-07
sunday april 22 2007,2007-04-22
sunday march 15 1981,1981-03-15
friday june 28 2013,2013-06-28
28 may 1977,1977-05-28
april 8 2006,2006-04-08
22 mar 1972,1972-03-22
01.08.97,1997-08-01
17.06.16,2016-06-17
24 may 1994,1994-05-24
tuesday september 6 2011,2011-09-06
wednesday august 8 1979,1979-08-08
friday october 3 2003,2003-10-03
friday december 15 2017,2017-12-15
02 jul 1976,1976-07-02
wednesday october 3 1979,1979-10-03
friday january 17 2014,2014-01-17
saturday february 2 1974,1974-02-02
25 october 1984,1984-10-25
sunday september 16 2001,2001-09-16
saturday june 3 1978,1978-06-03
thursday april 24 1980,1980-04-24
wednesday june 7 2006,2006-06-07
feb 1 1995,1995-02-01
saturday november 19 1994,1994-11-19
3/14/71,1971-03-14
thursday july 8 2004,2004-07-08
thursday july 20 1972,1972-07-20
tuesday april 3 2012,2012-04-03
monday february 18 2002,2002-02-18
23 apr 1989,1989-04-23
july 5 1998,1998-07-05
monday february 27 1984,1984-02-27
1 jan 1998,1998-01-01
wednesday july 7 1982,1982-07-07
february 28 1979,1979-02-28
1 march 1975,1975-03-01
wednesday december 25 2013,2013-12-25
friday december 20 1996,1996-12-20
wednesday may 25 2011,2011-05-25
thursday august 2 2001,2001-08-02
4 01 00,2000-01-04
23.08.70,1970-08-23
thursday may 5 2011,2011-05-05
26 jul 1995,1995-07-26
wednesday april 26 2017,2017-04-26
09 feb 2003,2003-02-09
13 feb 1980,1980-02-13
july 23 2012,2012-07-23
thursday february 22 1979,1979-02-22
sunday january 22 2017,2017-01-22
04 may 1992,1992-05-04
thursday april 22 1999,1999-04-22
4 nov 1975,1975-11-04
29 dec 2014,2014-12-29
thursday november 25 2010,2010-11-25
sunday august 29 1971,1971-08-29
sunday march 12 1989,1989-03-12
friday july 22 1977,1977-07-22
wednesday march 16 2011,2011-03-16
13 dec 1975,1975-12-13
sunday march 25 2007,2007-03-25
sunday april 3 1988,1988-04-03
6/7/82,1982-06-07
04.07.75,1975-07-04
5/22/73,1973-05-22
friday january 23 2004,2004-01-23
monday november 26 2012,2012-11-26
friday february 4 2011,2011-02-04
february 28 1991,1991-02-28
28 sep 1999,1999-09-28
sunday january 13 2013,2013-01-13
26 aug 1996,1996-08-26
3/1/15,2015-03-01
june 17 2003,2003-06-17
29 02 96,1996-02-29
tuesday september 20 2005,2005-09-20
tuesday august 18 1981,1981-08-18
04 jan 1980,1980-01-04
saturday may 4 1996,1996-05-04
20 11 75,1975-11-20
08 oct 2008,2008-10-08
wednesday june 1 1983,1983-06-01
october 15 2005,2005-10-15
apr 16 2015,2015-04-16
thursday january 12 1978,1978-01-12
monday november 7 1994,1994-11-07
14.04.82,1982-04-14
11/28/84,1984-11-28
19 apr 1991,1991-04-19
19 october 1999,1999-10-19
29 jun 1998,1998-06-29
tuesday august 11 2015,2015-08-11
june 19 2018,2018-06-19
7 june 1974,1974-06-07
tuesday december 23 2014,2014-12-23
saturday may 5 2012,2012-05-05
15 april 1982,1982-04-15
january 14 1972,1972-01-14
5/19/14,2014-05-19
monday june 3 2013,2013-06-03
monday november 19 2001,2001-11-19
november 5 1997,1997-11-05
august 21 1979,1979-08-21
17 december 1991,1991-12-17
tuesday october 11 1994,1994-10-11
30.03.83,1983-03-30
thursday december 14 2006,2006-12-14
sunday march 26 2017,2017-03-26
31.10.75,1975-10-31
17 june 2005,2005-06-17
5 apr 2010,2010-04-05
march 9 2015,2015-03-09
april 9 2012,2012-04-09
friday august 29 2014,2014-08-29
11 jul 1995,1995-07-11
20 december 1973,1973-12-20
saturday december 30 2000,2000-12-30
friday september 17 1971,1971-09-17
19 nov 1977,1977-11-19
30 jul 2017,2017-07-30
wednesday june 26 2002,2002-06-26
14 sep 1976,1976-09-14
1 jun 1994,1994-06-01
20 08 03,2003-08-20
8/7/08,2008-08-07
tuesday september 5 1972,1972-09-05
17 mar 2009,2009-03-17
friday october 7 1994,1994-10-07
01 nov 1999,1999-11-01
saturday september 12 1998,1998-09-12
january 5 1988,1988-01-05
23 oct 1987,1987-10-23
thursday june 7 2001,2001-06-07
dec 26 1974,1974-12-26
25 october 2009,2009-10-25
11 jul 2005,2005-07-11
thursday june 6 1991,1991-06-06
wednesday november 12 2008,2008-11-12
tuesday january 17 1984,1984-01-17
july 6 1996,1996-07-06
8/2/90,1990-08-02
sunday march 4 2007,2007-03-04
21 july 1976,1976-07-21
saturday may 16 1981,1981-05-16
25 august 1994,1994-08-25
friday november 1 2002,2002-11-01
11 may 1982,1982-05-11
monday january 29 2018,2018-01-29
23 august 1992,1992-08-23
15 oct 1972,1972-10-15
tuesday may 14 1996,1996-05-14
dec 5 1974,1974-12-05
15 may 1971,1971-05-15
7 august 2014,2014-08-07
29.12.16,2016-12-29
january 6 1985,1985-01-06
10 december 2001,2001-12-10
20 oct 1979,1979-10-20
tuesday april 10 2001,2001-04-10
06.11.14,2014-11-06
thursday january 25 2007,2007-01-25
friday october 8 1976,1976-10-08
wednesday december 3 2014,2014-12-03
october 13 1975,1975-10-13
17 12 95,1995-12-17
november 18 2015,2015-11-18
friday december 15 1989,1989-12-15
sunday march 1 1998,1998-03-01
29 may 2005,2005-05-29
03 feb 1991,1991-02-03
4/14/06,2006-04-14
3/26/10,2010-03-26
sunday april 22 2012,2012-04-22
saturday november 8 1986,1986-11-08
tuesday december 2 2008,2008-12-02
22 sep 2016,2016-09-22
saturday december 23 2017,2017-12-23
june 30 1973,1973-06-30
saturday april 26 1980,1980-04-26
1/14/12,2012-01-14
6 march 1990,1990-03-06
sunday october 23 2005,2005-10-23
wednesday december 8 1976,1976-12-08
monday february 26 1973,1973-02-26
august 5 1995,1995-08-05
3/30/85,1985-03-30
jul 16 2000,2000-07-16
monday august 26 1974,1974-08-26
30 november 2003,2003-11-30
23 december 1992,1992-12-23
friday august 5 1988,1988-08-05
06.03.14,2014-03-06
24.10.93,1993-10-24
saturday february 12 1977,1977-02-12
january 11 1970,1970-01-11
saturday june 14 1997,1997-06-14
13 february 1976,1976-02-13
wednesday october 5 1983,1983-10-05
monday august 7 2006,2006-08-07
2/19/07,2007-02-19
saturday march 18 2000,2000-03-18
saturday april 18 2015,2015-04-18
november 25 1977,1977-11-25
29 may 1989,1989-05-29
4 january 1989,1989-01-04
july 25 1984,1984-07-25
august 14 1970,1970-08-14
2 october 1985,1985-10-02
6/16/76,1976-06-16
tuesday july 5 1977,1977-07-05
10 01 05,2005-01-10
feb 17 2011,2011-02-17
15 apr 1983,1983-04-15
sunday march 1 1998,1998-03-01
24 august 1990,1990-08-24
27 03 10,2010-03-27
4 january 2005,2005-01-04
friday july 22 1977,1977-07-22
saturday october 31 2009,2009-10-31
22 aug 2003,2003-08-22
sunday july 23 1972,1972-07-23
saturday november 17 1990,1990-11-17
thursday april 26 2007,2007-04-26
11 november 1988,1988-11-11
6 06 10,2010-06-06
jun 27 1971,1971-06-27
march 14 2013,2013-03-14
5/26/76,1976-05-26
22 jan 2009,2009-01-22
wednesday august 13 2003,2003-08-13
wednesday january 10 2018,2018-01-10
6/6/90,1990-06-06
sunday december 14 1980,1980-12-14
26 august 2001,2001-08-26
wednesday october 17 2001,2001-10-17
03.03.83,1983-03-03
6 jun 1970,1970-06-06
3 april 2005,2005-04-03
thursday december 17 1970,1970-12-17
6 june 2015,2015-06-06
may 16 1974,1974-05-16
20.09.83,1983-09-20
sunday august 19 2007,2007-08-19
tuesday september 24 2002,2002-09-24
thursday june 6 1985,1985-06-06
15 january 1973,1973-01-15
saturday february 26 2005,2005-02-26
3/8/89,1989-03-08
sunday july 22 2007,2007-07-22
tuesday december 28 2010,2010-12-28
thursday april 18 2002,2002-04-18
monday april 2 1973,1973-04-02
saturday september 15 1984,1984-09-15
thursday december 29 1983,1983-12-29
wednesday august 16 2006,2006-08-16
12 january 1992,1992-01-12
saturday august 6 2005,2005-08-06
june 9 1980,1980-06-09
january 9 1982,1982-01-09
april 18 1992,1992-04-18
6 mar 1976,1976-03-06
june 29 1974,1974-06-29
tuesday december 21 1993,1993-12-21
saturday september 18 2004,2004-09-18
4 12 00,2000-12-04
4 july 1989,1989-07-04
20 mar 1989,1989-03-20
25 august 2016,2016-08-25
wednesday july 21 2004,2004-07-21
may 21 1982,1982-05-21
31.10.93,1993-10-31
june 22 1973,1973-06-22
thursday september 28 1989,1989-09-28
19.03.79,1979-03-19
monday june 21 1993,1993-06-21
wednesday may 18 1983,1983-05-18
july 2 1986,1986-07-02
sunday march 7 1982,1982-03-07
12/22/70,1970-12-22
jun 2 1986,1986-06-02
6/26/93,1993-06-26
14 dec 2000,2000-12-14
saturday november 28 1987,1987-11-28
friday may 25 2001,2001-05-25
friday march 8 1996,1996-03-08
tuesday december 14 1982,1982-12-14
sunday june 21 1987,1987-06-21
tuesday october 2 1984,1984-10-02
7 dec 1972,1972-12-07
may 1 1990,1990-05-01
08 may 2005,2005-05-08
5/18/91,1991-05-18
29 july 1971,1971-07-29
wednesday december 19 2007,2007-12-19
16 january 1970,1970-01-16
10 06 72,1972-06-10
03 jul 2003,2003-07-03
wednesday july 14 1976,1976-07-14
june 9 2009,2009-06-09
saturday november 21 1992,1992-11-21
27 07 11,2011-07-27
june 25 1987,1987-06-25
saturday june 24 1989,1989-06-24
5 jun 1979,1979-06-05
24.11.79,1979-11-24
sunday october 3 2010,2010-10-03
20 sep 2007,2007-09-20
august 22 2018,2018-08-22
friday february 19 1988,1988-02-19
thursday october 16 2003,2003-10-16
tuesday june 30 1998,1998-06-30
may 28 1989,1989-05-28
sunday february 7 1982,1982-02-07
sunday december 27 2009,2009-12-27
21 may 1974,1974-05-21
saturday march 17 1973,1973-03-17
oct 23 1972,1972-10-23
2/17/86,1986-02-17
wednesday may 11 2016,2016-05-11
9/27/73,1973-09-27
27 april 1976,1976-04-27
march 25 1988,1988-03-25
02.11.84,1984-11-02
30 june 1979,1979-06-30
july 31 1991,1991-07-31
friday march 10 1978,1978-03-10
12 mar 1997,1997-03-12
wednesday april 29 1998,1998-04-29
28 nov 1986,1986-11-28
monday december 23 1991,1991-12-23
18 07 00,2000-07-18
12 nov 2014,2014-11-12
18 aug 1991,1991-08-18
december 21 2008,2008-12-21
jan 15 1989,1989-01-15
9 08 94,1994-08-09
25 february 1981,1981-02-25
november 16 2005,2005-11-16
15 sep 2008,2008-09-15
monday june 3 2013,2013-06-03
sunday september 30 2012,2012-09-30
saturday november 21 2015,2015-11-21
friday october 28 2011,2011-10-28
wednesday august 26 1970,1970-08-26
8 dec 2002,2002-12-08
monday august 24 1987,1987-08-24
18 jun 2011,2011-06-18
15 nov 2006,2006-11-15
march 8 2009,2009-03-08
19 jul 2016,2016-07-19
thursday february 21 2013,2013-02-21
13 march 1987,1987-03-13
20 dec 1975,1975-12-20
13 dec 1984,1984-12-13
6/30/02,2002-06-30
1 august 1971,1971-08-01
26 may 1974,1974-05-26
12/24/17,2017-12-24
wednesday june 20 2012,2012-06-20
24 dec 1992,1992-12-24
saturday april 21 1973,1973-04-21
19 06 02,2002-06-19
18.08.91,1991-08-18
21 november 1988,1988-11-21
monday december 16 1996,1996-12-16
feb 1 1996,1996-02-01
monday march 15 2004,2004-03-15
20 november 2003,2003-11-20
wednesday september 7 2016,2016-09-07
3/23/84,1984-03-23
30 sep 2007,2007-09-30
august 26 1995,1995-08-26
thursday february 28 1980,1980-02-28
thursday may 9 1974,1974-05-09
25 dec 2007,2007-12-25
29.09.96,1996-09-29
18 dec 2012,2012-12-18
friday january 4 2008,2008-01-04
sunday august 16 1987,1987-08-16
thursday august 2 2007,2007-08-02
december 21 1997,1997-12-21
monday july 24 2006,2006-07-24
29 08 00,2000-08-29
1/18/92,1992-01-18
saturday april 9 1977,1977-04-09
10 nov 1974,1974-11-10
12 march 2011,2011-03-12
17 january 1986,1986-01-17
wednesday february 20 1974,1974-02-20
friday october 15 1976,1976-10-15
